Query,Time-In-MilliSeconds
select `id` from `route_names` where (`name` = 'department.edit') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'department.index'), 0.22
select `id` from `route_names` where (`name` = 'department.index') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'department.show'), 0.21
select `id` from `route_names` where (`name` = 'department.show') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'department.store'), 0.21
select `id` from `route_names` where (`name` = 'department.store') limit 1, 0.25
select count(*) as aggregate from `route_names` where (`name` = 'department.update'), 0.22
select `id` from `route_names` where (`name` = 'department.update') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'designation.activate'), 0.2
select `id` from `route_names` where (`name` = 'designation.activate') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'designation.create'), 0.22
select `id` from `route_names` where (`name` = 'designation.create') limit 1, 0.25
select count(*) as aggregate from `route_names` where (`name` = 'designation.de_activate'), 0.22
select `id` from `route_names` where (`name` = 'designation.de_activate') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'designation.destroy'), 0.22
select `id` from `route_names` where (`name` = 'designation.destroy') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'designation.edit'), 0.22
select `id` from `route_names` where (`name` = 'designation.edit') limit 1, 0.29
select count(*) as aggregate from `route_names` where (`name` = 'designation.index'), 0.23
select `id` from `route_names` where (`name` = 'designation.index') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'designation.show'), 0.23
select `id` from `route_names` where (`name` = 'designation.show') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'designation.store'), 0.23
select `id` from `route_names` where (`name` = 'designation.store') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'designation.update'), 0.23
select `id` from `route_names` where (`name` = 'designation.update') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'developer.laravel_routes_index'), 0.24
select `id` from `route_names` where (`name` = 'developer.laravel_routes_index') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'developer.sql_log'), 0.24
select `id` from `route_names` where (`name` = 'developer.sql_log') limit 1, 0.25
select count(*) as aggregate from `route_names` where (`name` = 'employee.activate'), 0.24
select `id` from `route_names` where (`name` = 'employee.activate') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'employee.create'), 0.23
select `id` from `route_names` where (`name` = 'employee.create') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'employee.de_activate'), 0.24
select `id` from `route_names` where (`name` = 'employee.de_activate') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'employee.destroy'), 0.23
select `id` from `route_names` where (`name` = 'employee.destroy') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'employee.edit'), 0.21
select `id` from `route_names` where (`name` = 'employee.edit') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'employee.index'), 0.24
