Query,Time-In-MilliSeconds
select count(*) as aggregate from `route_names` where (`name` = 'employee.destroy'), 0.22
select `id` from `route_names` where (`name` = 'employee.destroy') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'employee.edit'), 0.2
select `id` from `route_names` where (`name` = 'employee.edit') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'employee.index'), 0.21
select `id` from `route_names` where (`name` = 'employee.index') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'employee.show'), 0.22
select `id` from `route_names` where (`name` = 'employee.show') limit 1, 0.57
select count(*) as aggregate from `route_names` where (`name` = 'employee.store'), 0.2
select `id` from `route_names` where (`name` = 'employee.store') limit 1, 0.95
select count(*) as aggregate from `route_names` where (`name` = 'employee.update'), 0.54
select `id` from `route_names` where (`name` = 'employee.update') limit 1, 0.29
select count(*) as aggregate from `route_names` where (`name` = 'home'), 1.62
select `id` from `route_names` where (`name` = 'home') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'item.activate'), 0.21
select `id` from `route_names` where (`name` = 'item.activate') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'item.ajax_get'), 0.21
select `id` from `route_names` where (`name` = 'item.ajax_get') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'item.create'), 0.24
select `id` from `route_names` where (`name` = 'item.create') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'item.csv'), 0.22
select `id` from `route_names` where (`name` = 'item.csv') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'item.de_activate'), 0.2
select `id` from `route_names` where (`name` = 'item.de_activate') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'item.destroy'), 0.2
select `id` from `route_names` where (`name` = 'item.destroy') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'item.edit'), 0.21
select `id` from `route_names` where (`name` = 'item.edit') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'item.index'), 0.21
select `id` from `route_names` where (`name` = 'item.index') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'item.show'), 0.21
select `id` from `route_names` where (`name` = 'item.show') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'item.stock.detail'), 0.2
select `id` from `route_names` where (`name` = 'item.stock.detail') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'item.store'), 0.2
select `id` from `route_names` where (`name` = 'item.store') limit 1, 0.25
select count(*) as aggregate from `route_names` where (`name` = 'item.update'), 0.22
select `id` from `route_names` where (`name` = 'item.update') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'login'), 0.23
select `id` from `route_names` where (`name` = 'login') limit 1, 0.26
select count(*) as aggregate from `route_names` where (`name` = 'logout'), 0.22
select `id` from `route_names` where (`name` = 'logout') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'logs.email'), 0.23
select `id` from `route_names` where (`name` = 'logs.email') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'party.activate'), 0.24
select column_name as `name`, data_type as `type_name`, column_type as `type`, collation_name as `collation`, is_nullable as `nullable`, column_default as `default`, column_comment as `comment`, generation_expression as `expression`, extra as `extra` from information_schema.columns where table_schema = schema() and table_name = 'route_names' order by ordinal_position asc, 1.03
select * from `cache` where `key` in ('laravel_cache_table-info-route_names'), 0.24
SHOW COLUMNS FROM route_names, 1.37
insert into `cache` (`expiration`, `key`, `value`) values ('2081154531', 'laravel_cache_table-info-route_names', 'a:1:{s:7:"columns";a:4:{s:2:"id";a:6:{s:5:"Field";s:2:"id";s:4:"Type";s:19:"bigint(20) unsigned";s:4:"Null";s:2:"NO";s:3:"Key";s:3:"PRI";s:7:"Default";N;s:5:"Extra";s:14:"auto_increment";}s:4:"name";a:6:{s:5:"Field";s:4:"name";s:4:"Type";s:12:"varchar(255)";s:4:"Null";s:2:"NO";s:3:"Key";s:3:"UNI";s:7:"Default";N;s:5:"Extra";s:0:"";}s:10:"created_at";a:6:{s:5:"Field";s:10:"created_at";s:4:"Type";s:9:"timestamp";s:4:"Null";s:3:"YES";s:3:"Key";s:0:"";s:7:"Default";N;s:5:"Extra";s:0:"";}s:10:"updated_at";a:6:{s:5:"Field";s:10:"updated_at";s:4:"Type";s:9:"timestamp";s:4:"Null";s:3:"YES";s:3:"Key";s:0:"";s:7:"Default";N;s:5:"Extra";s:0:"";}}}') on duplicate key update `expiration` = values(`expiration`), `key` = values(`key`), `value` = values(`value`), 0.32
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('party.activate', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.5
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.26
select count(*) as aggregate from `route_names` where (`name` = 'party.ajax_get'), 0.23
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('party.ajax_get', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.21
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 1.14
select count(*) as aggregate from `route_names` where (`name` = 'party.create'), 0.2
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('party.create', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.22
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.2
select count(*) as aggregate from `route_names` where (`name` = 'party.de_activate'), 0.19
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('party.de_activate', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.2
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.76
select count(*) as aggregate from `route_names` where (`name` = 'party.destroy'), 0.22
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('party.destroy', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.21
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.2
select count(*) as aggregate from `route_names` where (`name` = 'party.edit'), 0.2
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('party.edit', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.27
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.21
select count(*) as aggregate from `route_names` where (`name` = 'party.index'), 0.22
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('party.index', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.55
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.2
select count(*) as aggregate from `route_names` where (`name` = 'party.show'), 0.2
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('party.show', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.2
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.19
select count(*) as aggregate from `route_names` where (`name` = 'party.store'), 0.21
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('party.store', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.2
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.2
select count(*) as aggregate from `route_names` where (`name` = 'party.update'), 0.21
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('party.update', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 1.14
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.2
select count(*) as aggregate from `route_names` where (`name` = 'password.confirm'), 0.23
select `id` from `route_names` where (`name` = 'password.confirm') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'password.email'), 0.21
select `id` from `route_names` where (`name` = 'password.email') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'password.email'), 0.21
select `id` from `route_names` where (`name` = 'password.email') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'password.request'), 0.25
select `id` from `route_names` where (`name` = 'password.request') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'password.request'), 0.23
select `id` from `route_names` where (`name` = 'password.request') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'password.reset'), 0.22
select `id` from `route_names` where (`name` = 'password.reset') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'password.update'), 0.22
select `id` from `route_names` where (`name` = 'password.update') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'permissions.ajax_delete'), 0.23
select `id` from `route_names` where (`name` = 'permissions.ajax_delete') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'permissions.ajax_get_permissions'), 0.38
select `id` from `route_names` where (`name` = 'permissions.ajax_get_permissions') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'permissions.ajax_request_access'), 0.24
select `id` from `route_names` where (`name` = 'permissions.ajax_request_access') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'permissions.assign'), 0.22
select `id` from `route_names` where (`name` = 'permissions.assign') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'permissions.assign_to_many'), 0.21
select `id` from `route_names` where (`name` = 'permissions.assign_to_many') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'permissions.index'), 0.21
select `id` from `route_names` where (`name` = 'permissions.index') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'product.activate'), 0.22
select `id` from `route_names` where (`name` = 'product.activate') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'product.ajax_get'), 0.23
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('product.ajax_get', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.27
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.25
select count(*) as aggregate from `route_names` where (`name` = 'product.create'), 0.24
select `id` from `route_names` where (`name` = 'product.create') limit 1, 0.25
select count(*) as aggregate from `route_names` where (`name` = 'product.csv'), 0.25
select `id` from `route_names` where (`name` = 'product.csv') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'product.de_activate'), 0.23
select `id` from `route_names` where (`name` = 'product.de_activate') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'product.destroy'), 0.25
select `id` from `route_names` where (`name` = 'product.destroy') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'product.edit'), 0.21
select `id` from `route_names` where (`name` = 'product.edit') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'product.index'), 0.24
select `id` from `route_names` where (`name` = 'product.index') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'product.show'), 0.23
select `id` from `route_names` where (`name` = 'product.show') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'product.store'), 0.3
select `id` from `route_names` where (`name` = 'product.store') limit 1, 0.28
select count(*) as aggregate from `route_names` where (`name` = 'product.update'), 0.25
select `id` from `route_names` where (`name` = 'product.update') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'public.'), 0.24
select `id` from `route_names` where (`name` = 'public.') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'public.'), 0.26
select `id` from `route_names` where (`name` = 'public.') limit 1, 0.25
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.ajax_get_items'), 0.22
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('purchase-bill.ajax_get_items', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.26
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.2
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.create'), 0.21
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('purchase-bill.create', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.21
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.2
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.csv'), 0.21
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('purchase-bill.csv', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.21
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.19
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.destroy'), 0.19
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('purchase-bill.destroy', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.21
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.21
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.edit'), 0.22
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('purchase-bill.edit', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.23
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.23
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.index'), 0.25
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('purchase-bill.index', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.23
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.21
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.pdf'), 0.23
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('purchase-bill.pdf', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.23
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.22
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.show'), 0.3
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('purchase-bill.show', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.24
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.24
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.store'), 0.24
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('purchase-bill.store', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.23
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.23
select count(*) as aggregate from `route_names` where (`name` = 'purchase-bill.update'), 0.23
insert into `route_names` (`name`, `updated_at`, `created_at`) values ('purchase-bill.update', '2025-12-15 10:28:51', '2025-12-15 10:28:51'), 0.24
select * from `cache` where `key` in ('laravel_cache_Route-Name'), 0.23
select count(*) as aggregate from `route_names` where (`name` = 'register'), 0.24
select `id` from `route_names` where (`name` = 'register') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'reports.inventory'), 0.26
select `id` from `route_names` where (`name` = 'reports.inventory') limit 1, 0.25
select count(*) as aggregate from `route_names` where (`name` = 'reports.itemStock'), 0.23
select `id` from `route_names` where (`name` = 'reports.itemStock') limit 1, 3.26
select count(*) as aggregate from `route_names` where (`name` = 'reports.joborder'), 0.24
select `id` from `route_names` where (`name` = 'reports.joborder') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'reports.joborderreceive'), 0.23
select `id` from `route_names` where (`name` = 'reports.joborderreceive') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'reports.ledger'), 0.21
select `id` from `route_names` where (`name` = 'reports.ledger') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'role.activate'), 0.2
select `id` from `route_names` where (`name` = 'role.activate') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'role.create'), 0.23
select `id` from `route_names` where (`name` = 'role.create') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'role.de_activate'), 0.21
select `id` from `route_names` where (`name` = 'role.de_activate') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'role.destroy'), 0.31
select `id` from `route_names` where (`name` = 'role.destroy') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'role.edit'), 0.21
select `id` from `route_names` where (`name` = 'role.edit') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'role.index'), 0.19
select `id` from `route_names` where (`name` = 'role.index') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'role.show'), 0.2
select `id` from `route_names` where (`name` = 'role.show') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'role.store'), 0.23
select `id` from `route_names` where (`name` = 'role.store') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'role.update'), 0.2
select `id` from `route_names` where (`name` = 'role.update') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'sanctum.csrf-cookie'), 0.21
select `id` from `route_names` where (`name` = 'sanctum.csrf-cookie') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'settings.general'), 0.19
select `id` from `route_names` where (`name` = 'settings.general') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.activate'), 0.2
select `id` from `route_names` where (`name` = 'staff-type.activate') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.ajax_get'), 0.21
select `id` from `route_names` where (`name` = 'staff-type.ajax_get') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.create'), 0.21
select `id` from `route_names` where (`name` = 'staff-type.create') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.de_activate'), 0.21
select `id` from `route_names` where (`name` = 'staff-type.de_activate') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.destroy'), 0.21
select `id` from `route_names` where (`name` = 'staff-type.destroy') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.edit'), 0.23
select `id` from `route_names` where (`name` = 'staff-type.edit') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.index'), 0.19
select `id` from `route_names` where (`name` = 'staff-type.index') limit 1, 0.18
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.show'), 0.21
select `id` from `route_names` where (`name` = 'staff-type.show') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.store'), 0.22
select `id` from `route_names` where (`name` = 'staff-type.store') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'staff-type.update'), 0.26
select `id` from `route_names` where (`name` = 'staff-type.update') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'state.create'), 0.19
select `id` from `route_names` where (`name` = 'state.create') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'state.destroy'), 0.21
select `id` from `route_names` where (`name` = 'state.destroy') limit 1, 0.18
select count(*) as aggregate from `route_names` where (`name` = 'state.edit'), 0.19
select `id` from `route_names` where (`name` = 'state.edit') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'state.index'), 0.19
select `id` from `route_names` where (`name` = 'state.index') limit 1, 0.18
select count(*) as aggregate from `route_names` where (`name` = 'state.show'), 0.2
select `id` from `route_names` where (`name` = 'state.show') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'state.store'), 0.21
select `id` from `route_names` where (`name` = 'state.store') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'state.update'), 0.21
select `id` from `route_names` where (`name` = 'state.update') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'storage.local'), 0.28
select `id` from `route_names` where (`name` = 'storage.local') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'user.activate'), 0.21
select `id` from `route_names` where (`name` = 'user.activate') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'user.change.password'), 0.23
select `id` from `route_names` where (`name` = 'user.change.password') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'user.create'), 0.19
select `id` from `route_names` where (`name` = 'user.create') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'user.de_activate'), 0.19
select `id` from `route_names` where (`name` = 'user.de_activate') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'user.destroy'), 0.21
select `id` from `route_names` where (`name` = 'user.destroy') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'user.edit'), 0.2
select `id` from `route_names` where (`name` = 'user.edit') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'user.index'), 0.26
select `id` from `route_names` where (`name` = 'user.index') limit 1, 0.26
select count(*) as aggregate from `route_names` where (`name` = 'user.my.profile'), 0.29
select `id` from `route_names` where (`name` = 'user.my.profile') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'user.store'), 0.28
