Query,Time-In-MilliSeconds
select * from `sessions` where `id` = 'M1wVABsPVLxZADX21HRQXsAiI0b70IMclxfw1HJ1' limit 1, 0.37
select * from `users` where `id` = '1' limit 1, 0.4
select `name`, `id` from `route_names`, 0.53
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.create'), 1.35
select `id` from `route_names` where (`name` = 'auto-increaments.create') limit 1, 0.26
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.destroy'), 0.25
select `id` from `route_names` where (`name` = 'auto-increaments.destroy') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.edit'), 0.25
select `id` from `route_names` where (`name` = 'auto-increaments.edit') limit 1, 0.25
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.index'), 0.35
select `id` from `route_names` where (`name` = 'auto-increaments.index') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.show'), 0.25
select `id` from `route_names` where (`name` = 'auto-increaments.show') limit 1, 0.32
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.store'), 0.25
select `id` from `route_names` where (`name` = 'auto-increaments.store') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.update'), 0.23
select `id` from `route_names` where (`name` = 'auto-increaments.update') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'brand.activate'), 0.25
select `id` from `route_names` where (`name` = 'brand.activate') limit 1, 0.34
select count(*) as aggregate from `route_names` where (`name` = 'brand.ajax_get'), 0.25
select `id` from `route_names` where (`name` = 'brand.ajax_get') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'brand.create'), 0.24
select `id` from `route_names` where (`name` = 'brand.create') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'brand.csv'), 0.33
select `id` from `route_names` where (`name` = 'brand.csv') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'brand.de_activate'), 0.24
select `id` from `route_names` where (`name` = 'brand.de_activate') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'brand.destroy'), 0.23
select `id` from `route_names` where (`name` = 'brand.destroy') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'brand.edit'), 0.28
select `id` from `route_names` where (`name` = 'brand.edit') limit 1, 0.27
select count(*) as aggregate from `route_names` where (`name` = 'brand.index'), 0.24
select `id` from `route_names` where (`name` = 'brand.index') limit 1, 0.26
select count(*) as aggregate from `route_names` where (`name` = 'brand.show'), 0.24
select `id` from `route_names` where (`name` = 'brand.show') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'brand.store'), 0.25
select `id` from `route_names` where (`name` = 'brand.store') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'brand.update'), 0.24
select `id` from `route_names` where (`name` = 'brand.update') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'cities.ajax_get'), 0.23
select `id` from `route_names` where (`name` = 'cities.ajax_get') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'cities.ajax_get_list'), 0.24
select `id` from `route_names` where (`name` = 'cities.ajax_get_list') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'cities.create'), 0.21
select `id` from `route_names` where (`name` = 'cities.create') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'cities.destroy'), 0.2
select `id` from `route_names` where (`name` = 'cities.destroy') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'cities.edit'), 0.27
select `id` from `route_names` where (`name` = 'cities.edit') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'cities.index'), 0.23
select `id` from `route_names` where (`name` = 'cities.index') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'cities.options'), 0.22
select `id` from `route_names` where (`name` = 'cities.options') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'cities.store'), 0.23
select `id` from `route_names` where (`name` = 'cities.store') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'cities.update'), 0.25
select `id` from `route_names` where (`name` = 'cities.update') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'companies.index'), 0.23
select `id` from `route_names` where (`name` = 'companies.index') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'companies.update'), 0.2
select `id` from `route_names` where (`name` = 'companies.update') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'dashboard'), 0.21
select `id` from `route_names` where (`name` = 'dashboard') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'dashboard.ajax_admin_role_counters'), 0.21
select `id` from `route_names` where (`name` = 'dashboard.ajax_admin_role_counters') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'department.activate'), 0.21
select `id` from `route_names` where (`name` = 'department.activate') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'department.create'), 0.19
select `id` from `route_names` where (`name` = 'department.create') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'department.de_activate'), 0.19
select `id` from `route_names` where (`name` = 'department.de_activate') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'department.destroy'), 0.2
select `id` from `route_names` where (`name` = 'department.destroy') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'department.edit'), 0.19
select `id` from `route_names` where (`name` = 'department.edit') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'department.index'), 0.21
select `id` from `route_names` where (`name` = 'department.index') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'department.show'), 0.2
select `id` from `route_names` where (`name` = 'department.show') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'department.store'), 0.22
select `id` from `route_names` where (`name` = 'department.store') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'department.update'), 0.22
select `id` from `route_names` where (`name` = 'department.update') limit 1, 0.25
select count(*) as aggregate from `route_names` where (`name` = 'designation.activate'), 0.21
select `id` from `route_names` where (`name` = 'designation.activate') limit 1, 1.23
select count(*) as aggregate from `route_names` where (`name` = 'designation.create'), 0.22
select `id` from `route_names` where (`name` = 'designation.create') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'designation.de_activate'), 0.21
select `id` from `route_names` where (`name` = 'designation.de_activate') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'designation.destroy'), 0.21
select `id` from `route_names` where (`name` = 'designation.destroy') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'designation.edit'), 0.21
select `id` from `route_names` where (`name` = 'designation.edit') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'designation.index'), 0.21
select `id` from `route_names` where (`name` = 'designation.index') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'designation.show'), 0.19
select `id` from `route_names` where (`name` = 'designation.show') limit 1, 0.26
select count(*) as aggregate from `route_names` where (`name` = 'designation.store'), 0.22
select `id` from `route_names` where (`name` = 'designation.store') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'designation.update'), 0.23
select `id` from `route_names` where (`name` = 'designation.update') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'developer.laravel_routes_index'), 0.21
select `id` from `route_names` where (`name` = 'developer.laravel_routes_index') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'developer.sql_log'), 0.2
select `id` from `route_names` where (`name` = 'developer.sql_log') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'employee.activate'), 0.2
select `id` from `route_names` where (`name` = 'employee.activate') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'employee.create'), 0.21
select `id` from `route_names` where (`name` = 'employee.create') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'employee.de_activate'), 0.26
select `id` from `route_names` where (`name` = 'employee.de_activate') limit 1, 0.22
