Query,Time-In-MilliSeconds
select * from `sessions` where `id` = 'YZeRNXhVv3ZWdKb5r51SRFpM5JlDbmfBXZ4Xh6lf' limit 1, 0.29
select * from `users` where `id` = '1' limit 1, 0.3
select `name`, `id` from `route_names`, 0.3
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.create'), 0.32
select `id` from `route_names` where (`name` = 'auto-increaments.create') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.destroy'), 0.23
select `id` from `route_names` where (`name` = 'auto-increaments.destroy') limit 1, 0.24
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.edit'), 0.25
select `id` from `route_names` where (`name` = 'auto-increaments.edit') limit 1, 0.26
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.index'), 0.26
select `id` from `route_names` where (`name` = 'auto-increaments.index') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.show'), 0.25
select `id` from `route_names` where (`name` = 'auto-increaments.show') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.store'), 0.22
select `id` from `route_names` where (`name` = 'auto-increaments.store') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.update'), 0.22
select `id` from `route_names` where (`name` = 'auto-increaments.update') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'cities.ajax_get'), 0.23
select `id` from `route_names` where (`name` = 'cities.ajax_get') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'cities.ajax_get_list'), 0.22
select `id` from `route_names` where (`name` = 'cities.ajax_get_list') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'cities.create'), 0.23
select `id` from `route_names` where (`name` = 'cities.create') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'cities.destroy'), 0.22
select `id` from `route_names` where (`name` = 'cities.destroy') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'cities.edit'), 0.23
select `id` from `route_names` where (`name` = 'cities.edit') limit 1, 0.22
select count(*) as aggregate from `route_names` where (`name` = 'cities.index'), 0.22
select `id` from `route_names` where (`name` = 'cities.index') limit 1, 0.2
select count(*) as aggregate from `route_names` where (`name` = 'cities.options'), 0.23
select `id` from `route_names` where (`name` = 'cities.options') limit 1, 0.19
select count(*) as aggregate from `route_names` where (`name` = 'cities.store'), 0.24
select `id` from `route_names` where (`name` = 'cities.store') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'cities.update'), 0.22
select `id` from `route_names` where (`name` = 'cities.update') limit 1, 0.23
select count(*) as aggregate from `route_names` where (`name` = 'companies.index'), 0.21
select `id` from `route_names` where (`name` = 'companies.index') limit 1, 0.21
select count(*) as aggregate from `route_names` where (`name` = 'companies.update'), 0.24
