Query,Time-In-MilliSeconds
select * from `sessions` where `id` = 'tQ63FccutS68svXxRqxLj4qPvrbHaG9tUvyACaIl' limit 1, 0.58
select * from `users` where `id` = '1' limit 1, 0.63
select `name`, `id` from `route_names`, 1.24
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.create'), 0.46
select `id` from `route_names` where (`name` = 'auto-increaments.create') limit 1, 0.38
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.destroy'), 0.48
select `id` from `route_names` where (`name` = 'auto-increaments.destroy') limit 1, 0.41
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.edit'), 0.36
select `id` from `route_names` where (`name` = 'auto-increaments.edit') limit 1, 0.34
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.index'), 0.34
select `id` from `route_names` where (`name` = 'auto-increaments.index') limit 1, 0.33
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.show'), 0.38
select `id` from `route_names` where (`name` = 'auto-increaments.show') limit 1, 0.37
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.store'), 0.35
select `id` from `route_names` where (`name` = 'auto-increaments.store') limit 1, 0.33
select count(*) as aggregate from `route_names` where (`name` = 'auto-increaments.update'), 0.34
select `id` from `route_names` where (`name` = 'auto-increaments.update') limit 1, 0.33
select count(*) as aggregate from `route_names` where (`name` = 'brand.activate'), 0.34
select `id` from `route_names` where (`name` = 'brand.activate') limit 1, 0.33
select count(*) as aggregate from `route_names` where (`name` = 'brand.ajax_get'), 0.34
select `id` from `route_names` where (`name` = 'brand.ajax_get') limit 1, 0.4
select count(*) as aggregate from `route_names` where (`name` = 'brand.create'), 0.34
select `id` from `route_names` where (`name` = 'brand.create') limit 1, 0.33
select count(*) as aggregate from `route_names` where (`name` = 'brand.csv'), 0.33
select `id` from `route_names` where (`name` = 'brand.csv') limit 1, 0.33
select count(*) as aggregate from `route_names` where (`name` = 'brand.de_activate'), 0.34
select `id` from `route_names` where (`name` = 'brand.de_activate') limit 1, 0.33
select count(*) as aggregate from `route_names` where (`name` = 'brand.destroy'), 0.34
select `id` from `route_names` where (`name` = 'brand.destroy') limit 1, 0.45
select count(*) as aggregate from `route_names` where (`name` = 'brand.edit'), 0.34
select `id` from `route_names` where (`name` = 'brand.edit') limit 1, 0.35
select count(*) as aggregate from `route_names` where (`name` = 'brand.index'), 0.34
select `id` from `route_names` where (`name` = 'brand.index') limit 1, 0.82
select count(*) as aggregate from `route_names` where (`name` = 'brand.show'), 0.54
select `id` from `route_names` where (`name` = 'brand.show') limit 1, 0.39
select count(*) as aggregate from `route_names` where (`name` = 'brand.store'), 0.35
select `id` from `route_names` where (`name` = 'brand.store') limit 1, 0.34
select count(*) as aggregate from `route_names` where (`name` = 'brand.update'), 0.34
select `id` from `route_names` where (`name` = 'brand.update') limit 1, 0.33
select count(*) as aggregate from `route_names` where (`name` = 'cities.ajax_get'), 0.34
select `id` from `route_names` where (`name` = 'cities.ajax_get') limit 1, 0.32
select count(*) as aggregate from `route_names` where (`name` = 'cities.ajax_get_list'), 0.34
select `id` from `route_names` where (`name` = 'cities.ajax_get_list') limit 1, 0.32
select count(*) as aggregate from `route_names` where (`name` = 'cities.create'), 0.4
select `id` from `route_names` where (`name` = 'cities.create') limit 1, 0.33
select count(*) as aggregate from `route_names` where (`name` = 'cities.destroy'), 0.44
select `id` from `route_names` where (`name` = 'cities.destroy') limit 1, 0.37
select count(*) as aggregate from `route_names` where (`name` = 'cities.edit'), 0.35
select `id` from `route_names` where (`name` = 'cities.edit') limit 1, 0.33
select count(*) as aggregate from `route_names` where (`name` = 'cities.index'), 0.33
select `id` from `route_names` where (`name` = 'cities.index') limit 1, 0.32
select count(*) as aggregate from `route_names` where (`name` = 'cities.options'), 0.34
select `id` from `route_names` where (`name` = 'cities.options') limit 1, 0.32
select count(*) as aggregate from `route_names` where (`name` = 'cities.store'), 0.38
select `id` from `route_names` where (`name` = 'cities.store') limit 1, 0.33
select count(*) as aggregate from `route_names` where (`name` = 'cities.update'), 0.34
select `id` from `route_names` where (`name` = 'cities.update') limit 1, 0.4
select count(*) as aggregate from `route_names` where (`name` = 'companies.index'), 0.35
select `id` from `route_names` where (`name` = 'companies.index') limit 1, 0.33
select count(*) as aggregate from `route_names` where (`name` = 'companies.update'), 0.33
select `id` from `route_names` where (`name` = 'companies.update') limit 1, 0.32
select count(*) as aggregate from `route_names` where (`name` = 'complaint.ajax_get'), 0.33
select `id` from `route_names` where (`name` = 'complaint.ajax_get') limit 1, 0.32
select count(*) as aggregate from `route_names` where (`name` = 'complaint.create'), 0.33
select `id` from `route_names` where (`name` = 'complaint.create') limit 1, 0.33
select count(*) as aggregate from `route_names` where (`name` = 'complaint.destroy'), 0.33
select `id` from `route_names` where (`name` = 'complaint.destroy') limit 1, 0.32
select count(*) as aggregate from `route_names` where (`name` = 'complaint.edit'), 0.33
select `id` from `route_names` where (`name` = 'complaint.edit') limit 1, 0.33
select count(*) as aggregate from `route_names` where (`name` = 'complaint.index'), 0.34
select `id` from `route_names` where (`name` = 'complaint.index') limit 1, 0.33
select count(*) as aggregate from `route_names` where (`name` = 'complaint.show'), 0.33
select `id` from `route_names` where (`name` = 'complaint.show') limit 1, 0.33
select count(*) as aggregate from `route_names` where (`name` = 'complaint.store'), 0.36
select `id` from `route_names` where (`name` = 'complaint.store') limit 1, 0.48
select count(*) as aggregate from `route_names` where (`name` = 'complaint.update'), 1.1
select `id` from `route_names` where (`name` = 'complaint.update') limit 1, 0.46
select count(*) as aggregate from `route_names` where (`name` = 'dashboard'), 0.37
select `id` from `route_names` where (`name` = 'dashboard') limit 1, 0.35
select count(*) as aggregate from `route_names` where (`name` = 'dashboard.ajax_admin_role_counters'), 0.35
select `id` from `route_names` where (`name` = 'dashboard.ajax_admin_role_counters') limit 1, 0.34
select count(*) as aggregate from `route_names` where (`name` = 'department.activate'), 0.34
select `id` from `route_names` where (`name` = 'department.activate') limit 1, 0.33
select count(*) as aggregate from `route_names` where (`name` = 'department.create'), 0.34
select `id` from `route_names` where (`name` = 'department.create') limit 1, 0.33
